Category,Use Case,Original English,Optimized Japanese Translation
Game - Music,App Store Tagline,TAP TO THE RHYTHM!,リズムにのってタップ！
Game - Music,App Store Tagline,YOUR FAVE SONGS ARE HERE!,キミの推し曲であそぼう！
Game - Music,App Store Tagline,CLIMB THE RANKS!,ランキングのトップをめざせ！
Game - Music,App Store Tagline,BE THE #1 IDOL!,めざせ！No.1アイドル！
Game - Music,App Store Tagline,A MUSIC GAME FOR EVERYONE!,だれでも遊べる音ゲー！
Game - Music,App Store Description,Featuring classic hits and original songs!,名曲からオリソンまでもりだくさん！
Game - Music,App Store Description,Collect cute characters and form the ultimate band!,かわいいキャラを集めて最強バンドをつくろう！
Game - Music,Update Notice,NEW HIT SONGS ADDED!,人気曲、どんどん追加中！
Game - Music,Update Notice,Ver 2.0 UPDATE!,バージョン2.0にアップデート！
Game - Music,Update Notice,New Song Pack Available!,新しい楽曲パックが登場！
Game - Music,Gameplay CTA,FEVER TIME!,フィーバータイム！
Game - Music,Gameplay CTA,FULL COMBO!,フルコンボだ！
Game - Music,Gameplay CTA,TAP HERE!,ここをタップ！
Game - Music,Gameplay CTA,HOLD!,長押し！
Game - Music,Gameplay CTA,SLIDE!,スライド！
Game - Music,Gameplay Feedback,PERFECT!,パフェ！
Game - Music,Gameplay Feedback,GREAT,グレート
Game - Music,Gameplay Feedback,GOOD,グッド
Game - Music,Gameplay Feedback,BAD,バッド
Game - Music,Gameplay Feedback,MISS,ミス
Game - Music,Results Screen,NEW HIGH SCORE!,自己ベスト更新！
Game - Music,Results Screen,RANK UP!,ランクアップ！
Game - Music,Results Screen,CLEAR!,クリア！
Game - Music,Results Screen,FAILED...,失敗…
Game - Music,Results Screen,AMAZING PERFORMANCE!,最高のパフォーマンス！
Game - Music,Multiplayer Lobby,Hello!,よろしく！
Game - Music,Multiplayer Lobby,Thanks!,ありがとう！
Game - Music,Multiplayer Lobby,Get ready!,準備OK！
Game - Music,Multiplayer Lobby,One more time!,もう一回！
Game - Music,Multiplayer Lobby,"Great job, everyone!",みんなおつかれ！
Game - Music,Event Announcement,NEW EVENT INCOMING!,今だけ！限定イベント開催！
Game - Music,Event Announcement,LIMITED TIME IDOL!,期間限定アイドルだよ！
Game - Music,Event Announcement,EVENT STARTS NOW!,イベントスタート！
Game - Music,Event Announcement,EARN EVENT POINTS!,イベントポイントを集めよう！
Game - Music,Event Announcement,LAST CHANCE!,ラストチャンス！
Game - Music,Gacha Screen,GET RARE CHARACTERS!,激レアキャラをゲット！
Game - Music,Gacha Screen,10x SCOUT,10回スカウト
Game - Music,Gacha Screen,FREE DAILY SCOUT,毎日1回無料スカウト
Game - Music,Gacha Screen,GUARANTEED UR!,UR確定！
Game - Music,Gacha Screen,NEW CARDS ADDED!,新カード追加！
Game - Music,Tutorial,Let's try a live show!,ライブに挑戦してみよう！
Game - Music,Tutorial,Tap the notes as they come down.,上からくるノーツをタップしてね。
Game - Music,Tutorial,Form a team with your favorite characters.,好きなキャラでチームを組もう。
Game - Music,Tutorial,Use gems to scout for new idols.,ジュエルを使ってアイドルをスカウト！
Game - Music,Tutorial,Welcome to the world of [Game Name]!,「[ゲーム名]」の世界へようこそ！
Game - Music,Error Message,Connection error.,通信エラーです。
Game - Music,Error Message,Not enough Life.,ライフが足りません。
Game - Music,Confirmation Message,Are you sure you want to quit?,本当にやめますか？
Game - Music,Confirmation Message,Use 100 gems?,ジュエルを100個使いますか？
Game - Music,Loading Screen,Now Loading...,ロード中…
Game - Music,Loading Screen,Downloading new songs...,楽曲データをダウンロード中…
Game - Music,Shop Screen,SPECIAL PACK!,スペシャルパック販売中！
Game - Music,Shop Screen,First-time buyer bonus!,初回限定ボーナス！
Game - Music,Login Bonus,Day 1: 50 Gems!,1日目：ジュエル50個！
Game - Music,Mission Screen,CLEAR 3 SONGS,ライブを3回クリアしよう
